Date,Open,High,Low,Close,Adj Close,Volume
2019-11-04,140.934067,145.866119,141.055206,144.572311,144.572311,8186061871
2019-11-05,144.536713,148.492203,143.114990,146.975372,146.975372,7782751240
2019-11-06,146.827347,150.531570,146.736481,149.012299,149.012299,7899195898
2019-11-07,148.942673,149.656067,145.526550,146.626022,146.626022,7083582152
2019-11-08,146.585251,147.801178,142.889542,144.196869,144.196869,7183391385
2019-11-09,144.275345,145.470505,143.954803,144.836594,144.836594,5696610536
2019-11-10,144.769775,149.220688,144.348419,148.092590,148.092590,6841044848
2019-11-11,148.112640,148.093765,144.007339,144.321152,144.321152,6129069213
2019-11-12,144.379654,146.240295,143.317032,145.380798,145.380798,6063014731
2019-11-13,145.457855,147.303802,144.663254,146.468887,146.468887,5713128578
2019-11-14,146.479584,146.444016,143.616364,144.398392,144.398392,6111840717
2019-11-15,144.443832,144.342194,139.016296,139.901031,139.901031,6832009769
2019-11-16,139.883911,142.717392,139.486023,142.092041,142.092041,5262054655
2019-11-17,142.093964,145.655014,141.123764,143.277283,143.277283,5699789078
2019-11-18,143.217102,144.356369,138.370087,139.438965,139.438965,6014099942
2019-11-19,139.394836,141.188141,135.517593,137.264526,137.264526,5829750302
2019-11-20,137.233383,138.474823,135.610291,135.925858,135.925858,5574625976
2019-11-21,135.906723,136.395966,123.357697,124.981354,124.981354,6615378549
2019-11-22,125.014763,127.018448,110.903130,117.076935,117.076935,9365606634
2019-11-23,117.033340,120.063606,114.999084,119.530869,119.530869,6458280203
2019-11-24,119.540794,119.817818,111.155396,111.155396,111.155396,6056628740
2019-11-25,111.048233,116.463295,103.743240,113.570145,113.570145,8499937926
2019-11-26,113.514137,116.627953,112.905396,115.819595,115.819595,5946683178
2019-11-27,115.377785,119.789764,111.002708,118.338364,118.338364,6788978911
2019-11-28,118.383751,121.292999,117.015999,117.501167,117.501167,5689690647
2019-11-29,117.540680,121.329300,117.161461,120.134743,120.134743,5804602994
2019-11-30,120.121025,121.207764,116.979607,117.996315,117.996315,5079058464
2019-12-01,117.959366,118.099045,113.898376,117.087448,117.087448,5500826332
2019-12-02,117.079514,117.565720,114.079987,115.202454,115.202454,5155436737
2019-12-03,115.201752,115.641174,112.326241,113.830116,113.830116,4773333433
2019-12-04,113.800865,114.939323,110.606682,111.939171,111.939171,6000136815
2019-12-05,111.892456,116.388306,110.539597,113.419685,113.419685,5126460035
2019-12-06,113.531769,113.939232,112.367973,113.576813,113.576813,4916845752
2019-12-07,113.579216,114.037582,112.952820,113.252296,113.252296,4500026828
2019-12-08,113.233650,115.979095,112.874313,115.120476,115.120476,4902495850
2019-12-09,115.089775,115.566101,112.300591,112.759926,112.759926,5130547376
2019-12-10,112.725456,113.160812,110.375664,111.410881,111.410881,5224856012
2019-12-11,111.451706,111.475014,108.373459,108.799721,108.799721,5331480200
2019-12-12,108.805519,108.180809,104.978348,108.071228,108.071228,5856455609
2019-12-13,108.109589,109.402016,107.818947,108.717690,108.717690,5449065368
2019-12-14,108.724197,109.155975,106.834892,107.160919,107.160919,5286494258
2019-12-15,107.157745,107.786560,104.417679,107.179672,107.179672,5418449800
2019-12-16,107.198051,107.941696,99.826225,100.698479,100.698479,6777051403
2019-12-17,100.723465,102.127373,92.512642,93.433846,93.433846,6902276116
2019-12-18,93.474197,101.945824,91.541313,101.715042,101.715042,9067398804
